City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
365,Verkh-Usugli,52.7,115.1667,0.81,79,100,7.34,RU,2021-03-04 06:40:08
366,Sokhos,40.8167,23.35,53.01,55,0,4.0,GR,2021-03-04 06:40:08
367,Tautira,-17.7333,-149.15,80.6,78,75,4.61,PF,2021-03-04 06:40:08
368,Coquimbo,-29.9533,-71.3436,60.8,94,90,5.75,CL,2021-03-04 06:36:20
369,Evensk,61.95,159.2333,-9.4,80,100,11.07,RU,2021-03-04 06:40:09
370,Segezha,63.7415,34.3222,18.21,92,100,9.78,RU,2021-03-04 06:40:09
371,Fortuna,40.5982,-124.1573,42.01,94,100,1.01,US,2021-03-04 06:40:09
372,Poso,-1.3959,120.7524,83.5,63,99,5.88,ID,2021-03-04 06:40:10
373,Manado,1.487,124.8455,80.6,83,40,6.91,ID,2021-03-04 06:40:10
374,Gora,51.6664,16.5349,43.0,86,97,4.0,PL,2021-03-04 06:40:10
375,Mbini,1.574,9.6134,78.8,100,20,2.91,GQ,2021-03-04 06:40:11
376,Heihe,50.2441,127.4902,17.6,79,40,17.9,CN,2021-03-04 06:40:11
377,Samana,19.2056,-69.3369,69.39,90,0,2.91,DO,2021-03-04 06:40:11
378,Verkhnevilyuysk,63.4453,120.3167,-15.68,85,100,10.27,RU,2021-03-04 06:40:12
379,Altayskoye,51.9533,85.3325,28.98,89,100,3.6,RU,2021-03-04 06:40:12
380,Saint-Joseph,-21.3667,55.6167,86.0,62,0,5.75,RE,2021-03-04 06:40:12
381,Kaeo,-35.1,173.7833,71.01,73,53,7.0,NZ,2021-03-04 06:40:12
382,Tricase,39.9304,18.3553,48.2,81,0,6.91,IT,2021-03-04 06:40:13
383,Tanout,14.9709,8.8879,70.02,19,0,13.98,NE,2021-03-04 06:40:12
384,Brooks,50.5834,-111.8851,32.0,86,0,5.75,CA,2021-03-04 06:40:13
385,Airai,-8.9266,125.4092,70.52,78,75,2.53,TL,2021-03-04 06:40:13
386,Saint-Georges,12.0564,-61.7485,73.4,94,75,17.27,GD,2021-03-04 06:40:14
387,Aklavik,68.2191,-135.0107,-22.0,76,90,1.14,CA,2021-03-04 06:40:14
388,Quatre Cocos,-20.2078,57.7625,84.2,65,40,9.22,MU,2021-03-04 06:40:14
389,Pisco,-13.7,-76.2167,73.4,78,75,6.91,PE,2021-03-04 06:40:14
390,Ahipara,-35.1667,173.1667,64.38,82,1,5.03,NZ,2021-03-04 06:40:15
391,Cidreira,-30.1811,-50.2056,73.83,89,99,2.35,BR,2021-03-04 06:40:15
392,Laramie,41.3114,-105.5911,30.99,58,1,3.44,US,2021-03-04 06:35:18
393,Vincennes,48.85,2.4333,50.0,100,90,2.3,FR,2021-03-04 06:35:59
394,Caravelas,-17.7125,-39.2481,72.68,88,100,2.3,BR,2021-03-04 06:40:15
395,Alofi,-19.0595,-169.9187,80.6,89,100,5.75,NU,2021-03-04 06:40:16
396,Port Lincoln,-34.7333,135.8667,66.18,57,0,11.9,AU,2021-03-04 06:40:16
397,Taoudenni,22.6783,-3.9836,64.18,25,0,11.21,ML,2021-03-04 06:40:16
398,Kavali,14.9167,79.9833,89.06,33,0,10.89,IN,2021-03-04 06:36:17
399,Joshimath,30.5667,79.5667,61.02,35,12,7.87,IN,2021-03-04 06:40:17
400,Loding,67.3,14.75,30.2,80,40,10.36,NO,2021-03-04 06:40:17
401,Derzhavinsk,51.1,66.3167,31.59,97,100,24.76,KZ,2021-03-04 06:40:17
402,Raga,8.4596,25.678,79.36,16,95,8.86,SS,2021-03-04 06:40:18
403,Azul,-36.777,-59.8585,68.0,95,77,5.99,AR,2021-03-04 06:40:18
404,Acapulco,16.8634,-99.8901,74.5,65,94,4.03,MX,2021-03-04 06:38:44
405,Port-Gentil,-0.7193,8.7815,80.6,94,40,4.61,GA,2021-03-04 06:40:18
406,Fukue,32.6881,128.8419,59.0,72,75,13.8,JP,2021-03-04 06:40:19
407,Qaqortoq,60.7167,-46.0333,48.2,34,75,47.18,GL,2021-03-04 06:40:19
408,Ambon,-3.6954,128.1814,91.4,52,20,12.66,ID,2021-03-04 06:40:19
409,Shouguang,36.88,118.7375,64.0,41,0,3.0,CN,2021-03-04 06:40:19
410,Alausi,-2.2,-78.8333,47.59,92,94,3.29,EC,2021-03-04 06:40:19
411,Oranjemund,-28.55,16.4333,65.55,73,0,10.49,NA,2021-03-04 06:40:20
412,Rumoi,43.9344,141.6428,35.04,84,5,10.54,JP,2021-03-04 06:40:20
413,Jieshi,22.8134,115.8257,64.0,82,90,5.5,CN,2021-03-04 06:40:20
414,Tome,-36.6167,-72.95,59.0,88,0,10.36,CL,2021-03-04 06:40:20
415,Poddorye,57.4695,31.1156,31.14,93,100,6.58,RU,2021-03-04 06:40:21
416,Hope,33.6671,-93.5916,48.2,61,1,3.44,US,2021-03-04 06:40:21
417,Te Anau,-45.4167,167.7167,52.05,60,79,8.46,NZ,2021-03-04 06:40:21
418,Ballina,-28.8667,153.5667,77.0,53,0,8.05,AU,2021-03-04 06:40:21
419,Lakatoro,-16.0999,167.4164,77.86,91,100,12.77,VU,2021-03-04 06:40:22
420,Brae,60.3964,-1.353,35.6,64,75,12.66,GB,2021-03-04 06:40:22
421,Khovu-Aksy,51.1333,93.6,20.44,81,50,2.13,RU,2021-03-04 06:40:22
422,Rio Gallegos,-51.6226,-69.2181,44.6,93,20,5.75,AR,2021-03-04 06:40:22
423,Moose Factory,51.2585,-80.6094,-5.8,84,90,5.75,CA,2021-03-04 06:40:23
424,Nioro,13.35,-15.75,70.05,23,0,2.24,GM,2021-03-04 06:40:23
425,Orange,33.7,-117.7675,51.8,76,20,2.37,US,2021-03-04 06:36:46
426,Darnah,32.767,22.6367,56.95,70,7,18.07,LY,2021-03-04 06:40:23
427,Coahuayana,18.7333,-103.6833,68.61,66,0,3.67,MX,2021-03-04 06:40:24
428,Wamba,8.9333,8.6,78.55,18,54,2.62,NG,2021-03-04 06:40:24
429,Makakilo City,21.3469,-158.0858,69.8,73,90,5.75,US,2021-03-04 06:38:46
430,Matagami,49.7502,-77.6328,-9.4,84,1,11.5,CA,2021-03-04 06:40:24
431,Megalopoli,37.4011,22.1422,54.0,65,0,1.14,GR,2021-03-04 06:40:25
432,Coromandel,-18.4733,-47.2003,63.3,96,99,2.75,BR,2021-03-04 06:40:25
433,Mahon,39.8885,4.2658,53.6,87,40,9.22,ES,2021-03-04 06:40:25
434,Yar-Sale,66.8333,70.8333,7.57,95,97,9.69,RU,2021-03-04 06:40:25
435,Togur,58.3631,82.8265,19.92,92,100,14.38,RU,2021-03-04 06:40:26
436,Gazipur,23.9981,90.423,82.4,54,0,11.5,BD,2021-03-04 06:37:27
437,Oktyabrskiy,54.4815,53.471,20.8,96,100,15.3,RU,2021-03-04 06:40:26
438,Kamina,-8.7386,24.9906,69.85,85,100,2.55,CD,2021-03-04 06:40:26
439,Lebu,-37.6167,-73.65,58.06,88,0,14.67,CL,2021-03-04 06:40:27
440,Bloomingdale,27.8936,-82.2404,60.01,82,90,4.61,US,2021-03-04 06:40:27
441,Mnogovershinnyy,53.9353,139.9242,1.81,94,100,4.21,RU,2021-03-04 06:40:27
442,Port Blair,11.6667,92.75,87.8,70,40,11.5,IN,2021-03-04 06:40:28
443,Ayagoz,47.9714,80.4392,19.09,71,0,2.82,KZ,2021-03-04 06:36:06
444,Walvis Bay,-22.9575,14.5053,75.54,55,0,1.3,NA,2021-03-04 06:40:28
445,Arcos De La Frontera,36.7508,-5.8106,53.01,87,0,4.61,ES,2021-03-04 06:40:28
446,Najran,17.4924,44.1277,75.2,20,0,4.61,SA,2021-03-04 06:40:29
447,Kalmunai,7.4167,81.8167,84.31,54,0,7.78,LK,2021-03-04 06:40:29
448,Quesnel,52.9999,-122.5029,39.2,48,90,4.61,CA,2021-03-04 06:36:01
449,Churapcha,62.0025,132.4325,-19.95,88,100,8.08,RU,2021-03-04 06:40:29
450,Doha,25.2867,51.5333,79.0,50,0,5.75,QA,2021-03-04 06:40:30
451,Quartucciu,39.2519,9.1794,53.6,100,20,5.75,IT,2021-03-04 06:40:30
452,Bintulu,3.1667,113.0333,89.6,70,40,9.22,MY,2021-03-04 06:38:13
453,Katangli,51.7102,143.2326,27.05,94,94,8.9,RU,2021-03-04 06:40:31
454,Chapais,49.7834,-74.8492,-9.4,70,1,12.66,CA,2021-03-04 06:40:31
455,Sterling,39.0062,-77.4286,43.0,60,1,9.51,US,2021-03-04 06:35:52
456,Camenca,48.0319,28.6978,42.58,70,18,5.84,MD,2021-03-04 06:40:31
457,Xining,36.6167,101.7667,47.1,16,100,2.86,CN,2021-03-04 06:37:13
458,Adrar,20.5022,-10.0711,64.45,24,100,10.6,MR,2021-03-04 06:40:32
459,Suntar,62.1444,117.6319,-15.63,87,100,9.17,RU,2021-03-04 06:40:33
